year,row_count
2011,171608957
2012,166509978
2013,167902359
2014,161426153
2015,143147393
2016,128754239
2017,111378425
2018,100879648
2019,83405928
2020,24327910
2021,30369390
2022,38886358
2023,37675067
2024,40742331
2025,44075801
