year,month,file,row_count,date,mom_change,mom_change_pct
2020,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2020/yellow_tripdata_2020-11.parquet,1509000,2020-11-01,-172132.0,-10.239053209385107
2020,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2020/yellow_tripdata_2020-12.parquet,1461898,2020-12-01,-47102.0,-3.1214049039098746
2021,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-01.parquet,1369769,2021-01-01,-92129.0,-6.3020128627305105
2021,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-02.parquet,1371709,2021-02-01,1940.0,0.14162972004769792
2021,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-03.parquet,1925152,2021-03-01,553443.0,40.34696863547589
2021,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-04.parquet,2171187,2021-04-01,246035.0,12.780029836605111
2021,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-05.parquet,2507109,2021-05-01,335922.0,15.471813344497743
2021,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-06.parquet,2834264,2021-06-01,327155.0,13.049093597446305
2021,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-07.parquet,2821746,2021-07-01,-12518.0,-0.44166669018834703
2021,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-08.parquet,2788757,2021-08-01,-32989.0,-1.1690988487269904
2021,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-09.parquet,2963793,2021-09-01,175036.0,6.276488055431151
2021,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-10.parquet,3463504,2021-10-01,499711.0,16.860522985242234
2021,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-11.parquet,3472949,2021-11-01,9445.0,0.27270071003238083
2021,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2021/yellow_tripdata_2021-12.parquet,3214369,2021-12-01,-258580.0,-7.4455455579681695
2022,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-01.parquet,2463931,2022-01-01,-750438.0,-23.346355069999746
2022,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-02.parquet,2979431,2022-02-01,515500.0,20.921852113553506
2022,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-03.parquet,3627882,2022-03-01,648451.0,21.764256329480357
2022,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-04.parquet,3599920,2022-04-01,-27962.0,-0.7707527422336269
2022,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-05.parquet,3588295,2022-05-01,-11625.0,-0.3229238427520653
2022,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-06.parquet,3558124,2022-06-01,-30171.0,-0.8408171568948464
2022,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-07.parquet,3174394,2022-07-01,-383730.0,-10.784615713224156
2022,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-08.parquet,3152677,2022-08-01,-21717.0,-0.6841305773637396
2022,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-09.parquet,3183767,2022-09-01,31090.0,0.9861460593647786
2022,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-10.parquet,3675411,2022-10-01,491644.0,15.442210438138225
2022,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-11.parquet,3252717,2022-11-01,-422694.0,-11.500591362435387
2022,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2022/yellow_tripdata_2022-12.parquet,3399549,2022-12-01,146832.0,4.514133876387039
2023,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-01.parquet,3066766,2023-01-01,-332783.0,-9.789033780657375
2023,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-02.parquet,2913955,2023-02-01,-152811.0,-4.982805991718964
2023,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-03.parquet,3403766,2023-03-01,489811.0,16.809147704751794
2023,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-04.parquet,3288250,2023-04-01,-115516.0,-3.393770312060229
2023,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-05.parquet,3513649,2023-05-01,225399.0,6.854679540789177
