date,row_count,mom_change,mom_change_pct
2009-01-01,14092413,,
2009-02-01,13380122,-712291.0,-5.0544289327881575
2009-03-01,14387371,1007249.0,7.527950791480076
2009-04-01,14294783,-92588.0,-0.6435366127696351
2009-05-01,14796313,501530.0,3.508482780046407
2009-06-01,14184249,-612064.0,-4.136598083590148
2009-07-01,13626103,-558146.0,-3.93497040273334
2009-08-01,13686520,60417.0,0.443391628552936
2009-09-01,13984887,298367.0,2.1800063127807467
2009-10-01,15604551,1619664.0,11.581530833963827
2009-11-01,14275339,-1329212.0,-8.51810475033854
2009-12-01,14583404,308065.0,2.158022306860796
2010-01-01,14863778,280374.0,1.9225552552751157
2010-02-01,11145409,-3718369.0,-25.016311465362307
2010-03-01,12884362,1738953.0,15.602415308401874
2010-04-01,15144990,2260628.0,17.545517581700977
2010-05-01,15481351,336361.0,2.2209390696197318
2010-06-01,14825128,-656223.0,-4.238796730337036
2010-07-01,14656519,-168609.0,-1.1373190167396907
2010-08-01,12528177,-2128342.0,-14.521469934300224
2010-09-01,15540209,3012032.0,24.04206134699407
2010-10-01,14199607,-1340602.0,-8.626666475335043
2010-11-01,13912310,-287297.0,-2.0232743061128433
2010-12-01,13819322,-92988.0,-0.6683864865000833
2011-01-01,13464997,-354325.0,-2.5639825166531294
2011-02-01,14202809,737812.0,5.479481354507554
2011-03-01,16066351,1863542.0,13.120939667638986
2011-04-01,14718973,-1347378.0,-8.38633489334324
2011-05-01,15554868,835895.0,5.679030731288104
2011-06-01,15097861,-457007.0,-2.9380320038717156
2011-07-01,14742561,-355300.0,-2.353313492553677
2011-08-01,13262441,-1480120.0,-10.039775314478938
2011-09-01,14626748,1364307.0,10.286997695220656
2011-10-01,15697804,1071056.0,7.322584623731809
2011-11-01,14525863,-1171941.0,-7.465636594774661
2011-12-01,14925983,400120.0,2.7545351350208858
2012-01-01,13058348,-1867635.0,-12.512643220885355
2012-02-01,13361345,302997.0,2.3203317908207177
2012-03-01,16146923,2785578.0,20.8480358826151
2012-04-01,13427802,-2719121.0,-16.83987097727536
2012-05-01,13965253,537451.0,4.0025240169612175
2012-06-01,15096468,1131215.0,8.100211288689142
2012-07-01,14379307,-717161.0,-4.750521777676742
2012-08-01,14381752,2445.0,0.01700360107756982
2012-09-01,14546854,165102.0,1.147996433257914
2012-10-01,14522315,-24539.0,-0.1686893949715884
2012-11-01,13776030,-746285.0,-5.1388845373482095
2012-12-01,14696610,920580.0,6.682476736766696
2013-01-01,14776617,80007.0,0.5443908493183214
2013-02-01,13990176,-786441.0,-5.322199255756576
2013-03-01,15749228,1759052.0,12.573480133487958
2013-04-01,14652628,-1096600.0,-6.962880974229336
2013-05-01,15285052,632424.0,4.3161131231885586
2013-06-01,14385456,-899596.0,-5.885462476673286
2013-07-01,13823840,-561616.0,-3.904054205859031
2013-08-01,11681525,-2142315.0,-15.497249678815727
2013-09-01,14107693,2426168.0,20.769274559614438
2013-10-01,15004556,896863.0,6.357261956295757
2013-11-01,14388451,-616105.0,-4.106119501303473
2013-12-01,13971118,-417333.0,-2.90047205220354
2014-01-01,13782517,-188601.0,-1.3499349157311546
