column,type
vendor_name,string
Trip_Pickup_DateTime,string
Trip_Dropoff_DateTime,string
Passenger_Count,int64
Trip_Distance,double
Start_Lon,double
Start_Lat,double
Rate_Code,double
store_and_forward,double
End_Lon,double
End_Lat,double
Payment_Type,string
Fare_Amt,double
surcharge,double
mta_tax,double
Tip_Amt,double
Tolls_Amt,double
Total_Amt,double
